City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,college,64.8569,-147.8028,286.12,61,40,2.57,US,1686679511
83,limbazi,57.5129,24.7194,290.64,62,10,1.55,LV,1686679512
84,punta arenas,-53.15,-70.9167,278.21,75,75,5.14,CL,1686679512
85,hornell,42.3279,-77.6611,295.03,45,4,2.24,US,1686679512
86,port lincoln,-34.7333,135.8667,285.45,75,66,3.65,AU,1686679513
87,shaowu,27.3409,117.4831,295.17,96,100,1.51,CN,1686679513
88,ciudad lazaro cardenas,17.9583,-102.2,304.39,57,8,4.19,MX,1686679345
89,mar del plata,-38.0023,-57.5575,287.01,40,0,6.69,AR,1686679415
90,bakanas,44.8081,76.2772,297.64,31,92,2.43,KZ,1686679514
91,parintins,-2.6283,-56.7358,304.28,58,44,1.26,BR,1686679514
92,ulladulla,-35.35,150.4667,284.09,64,6,4.18,AU,1686679515
93,kavaratti,10.5669,72.642,302.57,75,90,8.69,IN,1686679515
94,bubaque,11.2833,-15.8333,301.17,77,100,5.4,GW,1686679515
95,olinda,-8.0089,-34.8553,301.0,69,40,6.17,BR,1686679289
96,sokoni,-6.4333,39.55,299.39,67,1,5.22,TZ,1686679516
97,siverskiy,59.3544,30.0783,289.49,54,11,1.46,RU,1686679325
98,caxito,-8.5785,13.6643,294.7,88,14,3.17,AO,1686679517
99,gazli,40.1333,63.45,306.36,12,0,2.97,UZ,1686679517
100,pisco,-13.7,-76.2167,295.18,68,30,4.63,PE,1686679518
101,holualoa,19.6228,-155.9522,299.06,77,0,5.14,US,1686679518
102,bilibino,68.0546,166.4372,272.28,77,82,8.03,RU,1686679519
103,jajpur,20.85,86.3333,306.93,46,67,5.94,IN,1686679519
104,sulak,43.2734,47.5146,295.68,75,89,5.14,RU,1686679519
105,coquimbo,-29.9533,-71.3436,286.0,71,0,5.66,CL,1686679520
106,bamyan,34.75,67.25,285.76,54,5,2.43,AF,1686679520
107,bahir dar,11.5936,37.3908,292.04,79,85,2.12,ET,1686679356
108,harnai,30.1005,67.9374,305.54,34,4,4.02,PK,1686679521
